x,USD Growth,JPY Growth
22/01/18,-0.10%,0.20%
19/01/18,0.10%,-0.10%
18/01/18,-0.20%,0.40%
17/01/18,-0.30%,-0.60%
16/01/18,0.20%,0.10%
15/01/18,0.40%,0.30%
12/01/18,-1.10%,-0.70%
11/01/18,-1.00%,-0.50%
10/01/18,-0.20%,-0.40%
09/01/18,-0.50%,0.50%
08/01/18,0.30%,0.80%
05/01/18,0.60%,0.80%
04/01/18,0.20%,-0.40%
03/01/18,-0.30%,-0.70%
02/01/18,0.30%,0.30%
29/12/17,-0.60%,-0.30%
28/12/17,-0.50%,-0.20%
27/12/17,-0.30%,0.00%
22/12/17,-0.40%,-0.20%
21/12/17,0.10%,0.20%
20/12/17,-0.10%,-0.30%
19/12/17,-0.20%,-0.70%
18/12/17,-0.20%,-0.40%
15/12/17,0.10%,-0.20%
14/12/17,0.30%,0.70%
13/12/17,-0.90%,-0.30%
12/12/17,0.30%,0.40%
11/12/17,0.30%,0.10%
08/12/17,-0.50%,-0.30%
07/12/17,0.40%,-0.30%
06/12/17,0.30%,-0.30%
05/12/17,0.30%,0.60%
04/12/17,0.20%,0.40%
01/12/17,0.20%,-0.20%
30/11/17,-0.30%,-0.50%
29/11/17,-0.20%,-0.60%
28/11/17,0.50%,0.00%
27/11/17,0.50%,0.30%
24/11/17,-0.60%,-0.30%
23/11/17,-0.20%,-0.30%
22/11/17,-0.80%,-0.10%
21/11/17,-0.30%,0.20%
20/11/17,0.50%,0.20%
17/11/17,0.10%,0.50%
16/11/17,-0.20%,0.20%
15/11/17,0.60%,0.20%
14/11/17,-0.80%,-0.10%
13/11/17,-0.80%,-0.90%
10/11/17,0.00%,0.00%
09/11/17,-0.20%,-0.20%
08/11/17,-0.30%,-0.20%
07/11/17,-0.20%,0.40%
06/11/17,0.20%,0.20%
03/11/17,0.60%,0.40%
02/11/17,-0.10%,0.10%
01/11/17,-0.30%,-0.20%
31/10/17,0.20%,-0.50%
30/10/17,-0.20%,-0.10%
27/10/17,-0.10%,0.50%
26/10/17,1.30%,0.90%
25/10/17,0.30%,0.50%
24/10/17,-0.20%,-0.30%
23/10/17,-0.20%,-0.30%
20/10/17,0.70%,0.10%
19/10/17,0.10%,-0.40%
18/10/17,-0.70%,-0.40%
17/10/17,0.10%,-0.50%
16/10/17,0.40%,0.00%
13/10/17,0.10%,0.40%
12/10/17,0.40%,0.50%
11/10/17,-0.20%,-0.30%
10/10/17,-0.30%,-0.10%
09/10/17,-0.40%,-0.10%
06/10/17,-0.30%,-0.10%
05/10/17,0.30%,-0.10%
04/10/17,0.40%,0.30%
03/10/17,-0.30%,0.20%
02/10/17,-0.10%,-0.20%
29/09/17,0.50%,0.20%
28/09/17,-0.20%,-0.20%
27/09/17,-0.30%,0.00%
26/09/17,0.40%,-0.50%
25/09/17,0.70%,0.90%
22/09/17,0.80%,0.60%
21/09/17,-0.50%,-0.10%
20/09/17,0.90%,-0.20%
19/09/17,-0.30%,-0.10%
18/09/17,-0.20%,-0.30%
15/09/17,0.10%,-0.10%
14/09/17,-0.70%,-1.00%
13/09/17,0.80%,0.20%
12/09/17,-0.40%,-0.70%
11/09/17,0.50%,-0.40%
08/09/17,0.50%,-0.70%
07/09/17,-0.70%,0.60%
06/09/17,-0.30%,-0.30%
05/09/17,-0.30%,0.10%
04/09/17,0.10%,0.50%
01/09/17,0.10%,0.50%
31/08/17,-0.80%,-0.40%
30/08/17,0.80%,0.30%
29/08/17,1.10%,-0.30%
28/08/17,-1.00%,-0.40%
25/08/17,-1.00%,-0.60%
24/08/17,0.00%,-0.40%
23/08/17,-0.10%,-0.30%
22/08/17,-0.20%,0.00%
21/08/17,-0.10%,-0.40%
18/08/17,-0.20%,-0.10%
17/08/17,-0.40%,0.60%
16/08/17,0.10%,0.80%
15/08/17,0.30%,-0.10%
14/08/17,0.50%,-0.30%
11/08/17,-0.30%,-0.70%
10/08/17,-0.30%,0.30%
09/08/17,0.00%,0.00%
08/08/17,0.70%,1.20%
07/08/17,-0.10%,0.40%
04/08/17,0.60%,-0.10%
03/08/17,-0.10%,0.20%
02/08/17,-0.30%,0.10%
01/08/17,-0.10%,-0.30%
31/07/17,-0.70%,-0.60%
28/07/17,0.00%,0.50%
27/07/17,-0.30%,0.00%
26/07/17,-0.40%,0.00%
25/07/17,0.40%,0.00%
24/07/17,-0.40%,-0.90%
21/07/17,-0.10%,0.50%
20/07/17,-1.30%,-0.60%
19/07/17,0.40%,0.10%
18/07/17,0.20%,0.30%
17/07/17,-0.80%,-0.50%
14/07/17,-0.40%,0.20%
13/07/17,0.00%,0.10%
12/07/17,0.30%,0.70%
11/07/17,-0.40%,0.30%
10/07/17,-0.20%,-0.30%
07/07/17,0.20%,-0.10%
06/07/17,-0.20%,-0.60%
05/07/17,-0.50%,-0.30%
04/07/17,0.20%,-0.10%
03/07/17,0.10%,-0.10%
30/06/17,0.40%,-0.60%
29/06/17,0.00%,0.70%
28/06/17,-0.30%,-0.80%
27/06/17,-0.90%,-1.10%
26/06/17,-0.80%,-1.00%
23/06/17,-0.10%,-0.50%
22/06/17,0.00%,-0.10%
21/06/17,-0.20%,0.00%
20/06/17,0.10%,0.00%
19/06/17,0.40%,0.00%
16/06/17,-0.30%,0.10%
15/06/17,0.00%,-1.10%
14/06/17,0.30%,0.50%
13/06/17,0.10%,-0.10%
12/06/17,0.00%,-0.10%
09/06/17,-0.40%,0.10%
08/06/17,0.50%,0.30%
07/06/17,-0.10%,-0.80%
06/06/17,0.40%,0.30%
05/06/17,-0.10%,1.00%
02/06/17,-0.30%,0.60%
01/06/17,0.00%,-0.40%
31/05/17,0.00%,-0.10%
30/05/17,-0.40%,-0.30%
29/05/17,0.10%,0.50%
26/05/17,0.10%,-0.20%
25/05/17,0.20%,0.80%
24/05/17,-0.20%,-0.10%
23/05/17,0.20%,-0.40%
22/05/17,0.20%,0.40%
19/05/17,-0.60%,-0.70%
18/05/17,-0.40%,-1.00%
17/05/17,-0.10%,1.40%
16/05/17,-0.50%,0.70%
15/05/17,-0.80%,-1.00%
12/05/17,-0.90%,-0.50%
11/05/17,-0.10%,-0.10%
10/05/17,0.20%,0.10%
09/05/17,0.10%,0.20%
08/05/17,0.50%,-0.80%
05/05/17,0.20%,0.20%
04/05/17,-0.30%,0.00%
03/05/17,-0.10%,-0.70%
02/05/17,0.00%,0.10%
28/04/17,0.10%,-0.60%
27/04/17,-0.40%,-0.40%
26/04/17,0.10%,0.10%
25/04/17,0.00%,-0.80%
24/04/17,-0.40%,-0.60%
21/04/17,-1.40%,-2.50%
20/04/17,0.40%,0.40%
19/04/17,-0.20%,-0.20%
18/04/17,-0.40%,-0.60%
13/04/17,-0.50%,-0.20%
12/04/17,-0.20%,0.20%
11/04/17,0.10%,1.00%
10/04/17,-0.40%,0.30%
07/04/17,0.50%,-0.10%
06/04/17,0.30%,0.50%
05/04/17,0.10%,0.20%
04/04/17,-0.30%,-0.80%
03/04/17,0.10%,0.90%
31/03/17,0.30%,0.80%
30/03/17,0.40%,-0.10%
29/03/17,0.10%,-0.20%
28/03/17,1.00%,0.60%
27/03/17,0.30%,0.10%
24/03/17,-0.80%,0.10%
23/03/17,-0.20%,-0.60%
22/03/17,0.20%,0.60%
21/03/17,0.00%,1.30%
20/03/17,-0.50%,-0.30%
17/03/17,-0.10%,0.20%
16/03/17,-0.10%,0.00%
15/03/17,-1.00%,0.20%
14/03/17,0.10%,0.30%
13/03/17,0.30%,0.20%
10/03/17,-0.50%,0.10%
09/03/17,-0.50%,-1.20%
08/03/17,0.00%,-0.20%
07/03/17,0.20%,0.00%
06/03/17,0.20%,0.00%
03/03/17,-0.30%,0.20%
02/03/17,-0.50%,-0.50%
01/03/17,0.20%,-0.30%
28/02/17,0.60%,-0.80%
27/02/17,-0.10%,0.00%
24/02/17,0.20%,0.10%
23/02/17,-0.30%,0.20%
22/02/17,-0.60%,-0.40%
21/02/17,0.20%,0.80%
20/02/17,0.70%,0.30%
17/02/17,0.30%,0.00%
16/02/17,0.00%,0.70%
15/02/17,-0.90%,-0.10%
14/02/17,0.60%,-0.30%
13/02/17,0.10%,0.40%
